home_team,away_team,home_result,away_result,result,date,round,city,stadium,edition
Russia,Saudi Arabia,5,0,Russia,2018-06-14 15:00:00,Group A,Moscow,Luzhniki Stadium,2018-RUSSIA
Egypt,Uruguay,0,1,Uruguay,2018-06-15 12:00:00,Group A,Yekaterinburg,Central Stadium,2018-RUSSIA
Russia,Egypt,3,1,Russia,2018-06-19 18:00:00,Group A,Saint Petersburg,Krestovsky Stadium,2018-RUSSIA
Uruguay,Saudi Arabia,1,0,Uruguay,2018-06-20 15:00:00,Group A,Rostov-on-Don,Rostov Arena,2018-RUSSIA
Uruguay,Russia,3,0,Uruguay,2018-06-25 14:00:00,Group A,Samara,Cosmos Arena,2018-RUSSIA
Saudi Arabia,Egypt,2,1,Saudi Arabia,2018-06-25 14:00:00,Group A,Volgograd,Volgograd Arena,2018-RUSSIA
Portugal,Spain,3,3,draw,2018-06-15 18:00:00,Group B,Sochi,Fisht Olympic Stadium,2018-RUSSIA
Morocco,Iran,0,1,Iran,2018-06-15 15:00:00,Group B,Saint Petersburg,Krestovsky Stadium,2018-RUSSIA
Portugal,Morocco,1,0,Portugal,2018-06-20 12:00:00,Group B,Moscow,Luzhniki Stadium,2018-RUSSIA
Iran,Spain,0,1,Spain,2018-06-20 18:00:00,Group B,Kazan,Kazan Arena,2018-RUSSIA
Iran,Portugal,1,1,draw,2018-06-25 18:00:00,Group B,Saransk,Mordovia Arena,2018-RUSSIA
Spain,Morocco,2,2,draw,2018-06-25 18:00:00,Group B,Kaliningrad,Kaliningrad Stadium,2018-RUSSIA
France,Australia,2,1,France,2018-06-16 10:00:00,Group C,Kazan,Kazan Arena,2018-RUSSIA
Peru,Denmark,0,1,Denmark,2018-06-16 16:00:00,Group C,Saransk,Mordovia Arena,2018-RUSSIA
France,Peru,1,0,France,2018-06-21 15:00:00,Group C,Yekaterinburg,Central Stadium,2018-RUSSIA
Denmark,Australia,1,1,draw,2018-06-21 12:00:00,Group C,Samara,Cosmos Arena,2018-RUSSIA
Denmark,France,0,0,draw,2018-06-26 14:00:00,Group C,Moscow,Luzhniki Stadium,2018-RUSSIA
Australia,Peru,0,2,Peru,2018-06-26 14:00:00,Group C,Sochi,Fisht Olympic Stadium,2018-RUSSIA
Argentina,Iceland,1,1,draw,2018-06-16 13:00:00,Group D,Moscow,Otkrytiye Arena,2018-RUSSIA
Croatia,Nigeria,2,0,Croatia,2018-06-16 19:00:00,Group D,Kaliningrad,Kaliningrad Stadium,2018-RUSSIA
Argentina,Croatia,0,3,Croatia,2018-06-21 18:00:00,Group D,Nizhny Novgorod,Nizhny Novgorod Stadium,2018-RUSSIA
