home_team,away_team,home_result,away_result,result,date,round,city,stadium,edition
Qatar,Ecuador,0,2,Ecuador,2022-11-20 19:00:00,Matchday 1,Al Khor,Al Bayt Stadium,2022-QATAR
Senegal,Netherlands,0,2,Netherlands,2022-11-21 19:00:00,Matchday 2,Doha,Al Thumama Stadium,2022-QATAR
Qatar,Senegal,1,3,Senegal,2022-11-25 16:00:00,Matchday 6,Doha,Al Thumama Stadium,2022-QATAR
Netherlands,Ecuador,1,1,draw,2022-11-25 19:00:00,Matchday 6,Al Rayyan,Khalifa International Stadium,2022-QATAR
Ecuador,Senegal,1,2,Senegal,2022-11-29 18:00:00,Matchday 10,Al Rayyan,Khalifa International Stadium,2022-QATAR
Netherlands,Qatar,2,0,Netherlands,2022-11-29 18:00:00,Matchday 10,Al Khor,Al Bayt Stadium,2022-QATAR
England,Iran,6,2,England,2022-11-21 16:00:00,Matchday 2,Al Rayyan,Khalifa International Stadium,2022-QATAR
USA,Wales,1,1,draw,2022-11-21 22:00:00,Matchday 2,Al Rayyan,Ahmad bin Ali Stadium,2022-QATAR
Wales,Iran,0,2,Iran,2022-11-25 13:00:00,Matchday 6,Al Rayyan,Ahmad bin Ali Stadium,2022-QATAR
England,USA,0,0,draw,2022-11-25 22:00:00,Matchday 6,Al Khor,Al Bayt Stadium,2022-QATAR
Wales,England,0,3,England,2022-11-29 22:00:00,Matchday 10,Al Rayyan,Ahmad bin Ali Stadium,2022-QATAR
Iran,USA,0,1,USA,2022-11-29 22:00:00,Matchday 10,Doha,Al Thumama Stadium,2022-QATAR
Argentina,Saudi Arabia,1,2,Saudi Arabia,2022-11-22 13:00:00,Matchday 3,Lusail,Lusail Iconic Stadium,2022-QATAR
Mexico,Poland,0,0,draw,2022-11-22 19:00:00,Matchday 3,Doha,Stadium 974,2022-QATAR
Poland,Saudi Arabia,2,0,Poland,2022-11-26 16:00:00,Matchday 7,Al Rayyan,Education City Stadium,2022-QATAR
