home_team,away_team,home_result,away_result,result,date,round,city,stadium,edition
Argentina,Mexico,2,0,Argentina,2022-11-26 22:00:00,Matchday 7,Lusail,Lusail Iconic Stadium,2022-QATAR
Poland,Argentina,0,2,Argentina,2022-11-30 22:00:00,Matchday 11,Doha,Stadium 974,2022-QATAR
Saudi Arabia,Mexico,1,2,Mexico,2022-11-30 22:00:00,Matchday 11,Lusail,Lusail Iconic Stadium,2022-QATAR
Denmark,Tunisia,0,0,draw,2022-11-22 16:00:00,Matchday 3,Al Rayyan,Education City Stadium,2022-QATAR
France,Australia,4,1,France,2022-11-22 22:00:00,Matchday 3,Al Wakrah,Al Janoub Stadium,2022-QATAR
Tunisia,Australia,0,1,Australia,2022-11-26 13:00:00,Matchday 7,Al Wakrah,Al Janoub Stadium,2022-QATAR
France,Denmark,2,1,France,2022-11-26 19:00:00,Matchday 7,Doha,Stadium 974,2022-QATAR
Australia,Denmark,1,0,Australia,2022-11-30 18:00:00,Matchday 11,Al Wakrah,Al Janoub Stadium,2022-QATAR
Tunisia,France,1,0,Tunisia,2022-11-30 18:00:00,Matchday 11,Al Rayyan,Education City Stadium,2022-QATAR
Germany,Japan,1,2,Japan,2022-11-23 16:00:00,Matchday 4,Al Rayyan,Khalifa International Stadium,2022-QATAR
Spain,Costa Rica,7,0,Spain,2022-11-23 19:00:00,Matchday 4,Doha,Al Thumama Stadium,2022-QATAR
Japan,Costa Rica,0,1,Costa Rica,2022-11-27 13:00:00,Matchday 8,Al Rayyan,Ahmad bin Ali Stadium,2022-QATAR
Spain,Germany,1,1,draw,2022-11-27 22:00:00,Matchday 8,Al Khor,Al Bayt Stadium,2022-QATAR
Japan,Spain,2,1,Japan,2022-12-01 22:00:00,Matchday 12,Al Rayyan,Khalifa International Stadium,2022-QATAR
Costa Rica,Germany,2,4,Germany,2022-12-01 22:00:00,Matchday 12,Al Khor,Al Bayt Stadium,2022-QATAR
Morocco,Croatia,0,0,draw,2022-11-23 13:00:00,Matchday 4,Al Khor,Al Bayt Stadium,2022-QATAR
Belgium,Canada,1,0,Belgium,2022-11-23 22:00:00,Matchday 4,Al Rayyan,Ahmad bin Ali Stadium,2022-QATAR
Belgium,Morocco,0,2,Morocco,2022-11-27 16:00:00,Matchday 8,Doha,Al Thumama Stadium,2022-QATAR
Croatia,Canada,4,1,Croatia,2022-11-27 19:00:00,Matchday 8,Al Rayyan,Khalifa International Stadium,2022-QATAR
Croatia,Belgium,0,0,draw,2022-12-01 18:00:00,Matchday 12,Al Rayyan,Ahmad bin Ali Stadium,2022-QATAR
Canada,Morocco,1,2,Morocco,2022-12-01 18:00:00,Matchday 12,Doha,Al Thumama Stadium,2022-QATAR
Switzerland,Cameroon,1,0,Switzerland,2022-11-24 13:00:00,Matchday 5,Al Wakrah,Al Janoub Stadium,2022-QATAR
Brazil,Serbia,2,0,Brazil,2022-11-24 22:00:00,Matchday 5,Lusail,Lusail Iconic Stadium,2022-QATAR
Cameroon,Serbia,3,3,draw,2022-11-28 13:00:00,Matchday 9,Al Wakrah,Al Janoub Stadium,2022-QATAR
Brazil,Switzerland,1,0,Brazil,2022-11-28 19:00:00,Matchday 9,Doha,Stadium 974,2022-QATAR
Serbia,Switzerland,2,3,Switzerland,2022-12-02 22:00:00,Matchday 13,Doha,Stadium 974,2022-QATAR
Cameroon,Brazil,1,0,Cameroon,2022-12-02 22:00:00,Matchday 13,Lusail,Lusail Iconic Stadium,2022-QATAR
Uruguay,South Korea,0,0,draw,2022-11-24 16:00:00,Matchday 5,Al Rayyan,Education City Stadium,2022-QATAR
Portugal,Ghana,3,2,Portugal,2022-11-24 19:00:00,Matchday 5,Doha,Stadium 974,2022-QATAR
South Korea,Ghana,2,3,Ghana,2022-11-28 16:00:00,Matchday 9,Al Rayyan,Education City Stadium,2022-QATAR
Portugal,Uruguay,2,0,Portugal,2022-11-28 22:00:00,Matchday 9,Lusail,Lusail Iconic Stadium,2022-QATAR
Ghana,Uruguay,0,2,Uruguay,2022-12-02 18:00:00,Matchday 13,Al Wakrah,Al Janoub Stadium,2022-QATAR
South Korea,Portugal,2,1,South Korea,2022-12-02 18:00:00,Matchday 13,Lusail,Lusail Iconic Stadium,2022-QATAR
Netherlands,USA,3,1,Netherlands,2022-12-03 18:00:00,Round of 16,Al Rayyan,Khalifa International Stadium,2022-QATAR
Argentina,Australia,2,1,Argentina,2022-12-03 22:00:00,Round of 16,Al Rayyan,Ahmad bin Ali Stadium,2022-QATAR
France,Poland,3,1,France,2022-12-04 18:00:00,Round of 16,Doha,Al Thumama Stadium,2022-QATAR
England,Senegal,3,0,England,2022-12-04 22:00:00,Round of 16,Al Khor,Al Bayt Stadium,2022-QATAR
Japan,Croatia,1,1,draw,2022-12-05 18:00:00,Round of 16,Al Wakrah,Al Janoub Stadium,2022-QATAR
Brazil,South Korea,4,1,Brazil,2022-12-05 22:00:00,Round of 16,Doha,Stadium 974,2022-QATAR
Morocco,Spain,0,0,draw,2022-12-06 18:00:00,Round of 16,Al Rayyan,Education City Stadium,2022-QATAR
Portugal,Switzerland,6,1,Portugal,2022-12-06 22:00:00,Round of 16,Lusail,Lusail Iconic Stadium,2022-QATAR
Croatia,Brazil,0,0,draw,2022-12-09 18:00:00,Quarter-finals,Al Rayyan,Education City Stadium,2022-QATAR
Netherlands,Argentina,2,2,draw,2022-12-09 22:00:00,Quarter-finals,Lusail,Lusail Iconic Stadium,2022-QATAR
Morocco,Portugal,1,0,Morocco,2022-12-10 18:00:00,Quarter-finals,Doha,Al Thumama Stadium,2022-QATAR
England,France,1,2,France,2022-12-10 22:00:00,Quarter-finals,Al Khor,Al Bayt Stadium,2022-QATAR
Argentina,Croatia,3,0,Argentina,2022-12-13 22:00:00,Semi-finals,Lusail,Lusail Iconic Stadium,2022-QATAR
France,Morocco,2,0,France,2022-12-14 22:00:00,Semi-finals,Al Khor,Al Bayt Stadium,2022-QATAR
Croatia,Morocco,2,1,Croatia,2022-12-17 18:00:00,Match for third place,Al Rayyan,Khalifa International Stadium,2022-QATAR
Argentina,France,2,2,draw,2022-12-18 18:00:00,Final,Lusail,Lusail Iconic Stadium,2022-QATAR
